번호,공시번호,상표명(자재명),자재구분,사업자,사업자번호,유효기간,공시기관,주의사항,등재일자,가격,기타사항,미생물 학명,농약/비료등록여부,연락처(사업장),효능효과 표시여부,효능효과 표시구분,효능효과 세부내용,제조장주소
201,공시-2-5-123,먹충이 파워(미생물+식물추출물),충해관리용,우림바이오㈜,643-85-01273,2025.04.15 ~ 2028.04.14,강원대학교 산학협력단,"- 접촉성 제제이므로 골고루 잘 묻을 수 있도록 흠뻑 살포하십시오. - 강알칼리성 제제와 석회보르도액 및 유황합제와는 혼용하지 마십시오. - 해가 진 후, 그리고 습하거나 비가 오는 날은 살포하지 마십시오. - 보관 중 식물추출물의 침전 현상으로 층분리가 생길 수 있으므로 사용 전에 반드시 흔들어 사용하십시오. - 사용 후 밀봉한 뒤 햇빛을 피하여 건조하고 서늘한 곳에 보관하십시오. - 본 제품은 수도작 전용 자재입니다.",2013.04.15,"43,000원/500mL","*주성분의 종류 및 함량: Bacillus subtilis 1.0×10^6 cfu/mL, Matrine 0.3%, Cinnamaldehyde 5.0%",Bacillus subtilis,없음,031-294-1234(070-4244-2969),표시,,적용대상 작물명 및 효과: 벼(벼멸구) / 무처리구 대비 50% 이상 방제,전라남도 영광군 백수읍 백수로 1215
202,공시-2-5-124,수도응삼이(미생물+식물추출물),충해관리용,고려바이오㈜,124-86-37020,2025.04.15 ~ 2028.04.14,강원대학교 산학협력단,"- 접촉성 제제이므로 골고루 잘 묻을 수 있도록 흠뻑 살포하십시오. - 강알칼리성 제제와 석회보르도액 및 유황합제와는 혼용하지 마십시오. - 해가 진 후, 그리고 습하거나 비가 오는 날은 살포하지 마십시오. - 보관 중 식물추출물의 침전 현상으로 층분리가 생길 수 있으므로 사용 전에 반드시 흔들어 사용하십시오. - 사용 후 밀봉한 뒤 햇빛을 피하여 건조하고 서늘한 곳에 보관하십시오. - 본 제품은 수도작 전용 자재입니다.",2013.04.15,"37,000원/500mL, 74,000원/1L, 148,000원/2L, 222,000원/3L, 1,480,000원/20L","*주성분의 종류 및 함량: Bacillus subtilis, Matrine *책임보험정보: 대한상공회의소_202402-126",Bacillus subtilis,없음,031-354-8183,미표시,없음,,경기도 화성시 효행구 정남면 정남동로 346
204,공시-2-4-096,균바이(미생물),병해관리용,㈜자연과미래,412-81-30986,2025.04.15 ~ 2028.04.14,강원대학교 산학협력단,- 본 제품을 처음 사용 시 또는 타 약제와 혼용하여 사용할 경우 약효 및 약해 유무를 확인하기 위해 사전에 반드시 소량 테스트 후 이상이 없을 경우에만 사용하십시오. - 사용 전에 제품을 충분히 흔들고 생균제가 들어있으므로 개봉 후 바로 사용하십시오. - 음용하지 마시고 어린이 손에 닿지 않는 곳에 보관하십시오.,2013.04.15,"20,000원/1L",*주성분의 종류 및 함량: Bacillus subtilis *책임보험정보: 현대해상화재보험㈜_F-2024-0721517,Bacillus subtilis,없음,061-363-8488,미표시,없음,,전라남도 곡성군 오산면 무옥로 359
210,공시-2-5-208,젠타리(미생물),충해관리용,㈜농협케미컬,214-81-04598,2025.05.29 ~ 2028.05.28,강원대학교 산학협력단,"- 이 농자재는 의약품, 식료품 또는 시료의 보관창고와 구분하여 보관하십시오.",2013.05.29,"6,000원/100g, 15,000원/250g",*주성분의 종류 및 함량: Bacillus thuringiensis 1.0×10^9 cfu/g *책임보험정보: 농협손해보험㈜_319-1421-0310-11,Bacillus thuringiensis,제8-살충-22호,031-738-5200(042-623-0388),표시,농약등록,"농약등록제품, 적용대상 작물명 및 효과: 벼(혹명나방), 배추(배추좀나방) / 무처리구 대비 50% 이상 방제",대전광역시 대덕구 대화로 130 (대화동)
218,공시-3-5-001,청달래(미생물),충해관리용,농업회사법인 흙살림바이오(주),303-81-24778,2025.07.10 ~ 2028.07.09,국립순천대학교 산학협력단,○ 직사광선을 피하여 건조하고 서늘한 곳에 보관하고 흔들어서 사용하시오,2009.07.15,"20,000원/1L",Bacillus thuringiensis 1X10^6 CFU/mL,Bacillus thuringiensis,X,043-215-8179,미표시,없음,,충청북도 괴산군 불정면 한불로 1136
224,공시-2-3-007,잘무더(미생물+이탄),토양개량 및 작물생육용,고려바이오㈜,124-86-37020,2025.08.26 ~ 2028.08.25,강원대학교 산학협력단,- 사용 전에 반드시 흔들어 사용하십시오. - 강알칼리성 제제와 석회보르도액 및 유황합제와는 혼용하지 마십시오. - 본 제품은 생균제로 보관 중 일부 발생되는 침전물은 흔들어 사용하시면 효과에는 지장이 없습니다. - 개봉 후 시간이 경과함에 따라 미생물 함량이 감소할 수 있으므로 가급적 빠른 시간 내에 사용하십시오. - 사용 후 제품이 남았을 시 반드시 밀봉을 한 뒤 햇볕을 피하여 건조하고 서늘한 곳에 보관하십시오.,2013.08.26,"14,000원/250mL",*주성분의 종류 및 함량: Bacillus subtilis 1.0×10^6 cfu/mL *책임보험정보: 대한상공회의소_202501-217,Bacillus subtilis,없음,031-354-8183,미표시,없음,,경기도 화성시 효행구 정남면 정남동로 346
237,공시-3-5-010,총채큐Q(식물추출물+미생물추출물),충해관리용,㈜비아이지,314-81-33374,2025.10.23 ~ 2028.10.22,국립순천대학교 산학협력단,○ 사용전 흔들어 사용하십시오. ○ 알카리성 제품과는 혼용하여 사용하지 마십시오. ○ 사용 농도를 준수하여 사용하십시오. ○ 사용 후 남은 것은 뚜껑을 잘 닫은 후 햇볕이 들지 않는 서늘한 곳에 보관하십시오. ○ 냉암소에 보관하십시오. ○ 약액이 토양에 충분히 침투되도록 살포물량을 준수하십시오. ○ 본 제품은 먹을 수 없습니다.,2013.10.23,"16,000원/250ml, 30,000원/500ml","Matrine 0.14%, Polysaccharide 0.07%",,X,042-934-8154,미표시,없음,,대전광역시 유성구 테크노3로 77-2 (관평동)
247,공시-2-3-031,자연토(미생물+점토광물+토탄),토양개량 및 작물생육용,고려바이오㈜,124-86-37020,2026.01.29 ~ 2029.01.28,강원대학교 산학협력단,- 논(밭) 전체에 고르게 살포하십시오. - 제품에 곰팡이가 피거나 내용물이 덩어리지는 경우가 있으나 변질된 것은 아니오니 개의치 마시고 사용하십시오. - 쥐가 파먹을 수 있으니 보관에 유의하십시오. - 운송 중 내용물이 분쇄될 수 있으므로 주의하시기 바랍니다. - 사용 후 밀봉한 뒤 햇빛을 피하여 건조하고 서늘한 곳에 보관하십시오.,2014.01.29,"20,000원/10kg",*주성분의 종류 및 함량: Bacillus subtilis 1.0×10^6 cfu/g *책임보험정보: 대한상공회의소_202501-217,Bacillus subtilis,없음,031-354-8183,미표시,없음,,경기도 화성시 효행구 정남면 정남동로 346
248,공시-2-3-033,파워토토(토양미생물제제),토양개량 및 작물생육용,㈜대덕바이오,307-85-05688,2026.01.29 ~ 2029.01.28,강원대학교 산학협력단,- 사용방법 및 사용량을 준수하여 주십시오. - 작물의 생육 상태에 따라 사용농도를 증감해 주십시오. - 유효기간 경과 후에는 생물 밀도가 감소되므로 유효기간 내에 전부 사용하십시오.,2014.01.29,"25,000원/10kg",*주성분의 종류 및 함량: Bacillus amyloliquefaciens 1.0×10^6 cfu/g *책임보험정보: ㈜KB손해보험_2025-2462774(000),Bacillus amyloliquefaciens,제 충남 금산002-가-20301 호,042-823-4696,미표시,없음,,충청남도 금산군 추부면 신평공단로 57
249,공시-2-3-034,유산균발효(액)(미생물),토양개량 및 작물생육용,㈜쎌바이오텍,136-81-13410,2026.01.29 ~ 2029.01.28,강원대학교 산학협력단,- 냉암소 보관,2014.01.29,"10,000원/1L, 50,000원/5L, 100,000원/10L, 200,000원/20L, 1,000,000원/100L, 10,000,000원/1,000L",*주성분의 종류 및 함량: Lactobacillus acidophilus 1.0×10^6 cfu/mL,Lactobacillus acidophilus,없음,031-987-6205,미표시,없음,,경기도 김포시 월곶면 애기봉로409번길 50
268,공시-2-3-043,트리코마 수화제(토양미생물제제),토양개량 및 작물생육용,㈜케이엔텍,408-86-05616,2026.03.25 ~ 2029.03.24,강원대학교 산학협력단,- 건조하고 서늘한 곳 보관 - 토양 pH 조건: 3.0~7.0 - 버섯류 사용 금지 - 타 농자재와 혼용 시 사전 확인 필요,2014.03.25,"12,000원/60g, 35,000원/200g",*주성분의 종류 및 함량: Trichoderma harzianum 1.0×10^5 cfu/g,Trichoderma harzianum,제 경기 화성144-가-20301 호,070-4408-2113,미표시,없음,,경기도 화성시 우정읍 만곡동1길 42
269,공시-2-4-016,세머루(미생물),병해관리용,㈜엠바이넥스,615-81-09229,2026.03.25 ~ 2029.03.24,강원대학교 산학협력단,- 물에 희석한 후 4시간 이내에 사용하십시오. - 살아있는 미생물 제제이므로 30℃ 이하의 서늘한 곳에 보관하십시오. - 타 미생물 제품 또는 액비와 혼용하면 효과 감소를 초래할 수 있습니다. - 세균을 억제하는 화학 살균제 또는 농용항생제와 동시에 사용하지 마십시오.,2014.03.25,"15,000원/100g, 25,000원/200g, 120,000원/1kg",*주성분의 종류 및 함량: Bacillus methylotrophicus 1.0×10^8 cfu/g *책임보험정보: 메리츠화재해상보험㈜_14750-819,Bacillus methylotrophicus,없음,055-761-4701,표시,,적용대상 작물명 및 효과: 벼(세균벼알마름병) / 무처리구 대비 50% 이상 방제,경상남도 진주시 문산읍 월아산로950번길 25-3
278,공시-2-5-033,토박이 액상수화제(미생물),충해관리용,㈜팜한농,120-87-55101,2026.04.30 ~ 2029.04.29,강원대학교 산학협력단,"- 농작업 시 환경에 따라 시험작물인 벼에 다른 농도로 살포가 필요한 경우 고객센터로 문의하여 주시기 바랍니다. - 사용약량을 지켜 물에 희석한 후 살포기를 이용하여 작물에 충분히 묻도록 골고루 경엽처리 하십시오. - 이상기후(강우, 가뭄, 온도, 태풍 등), 병해충/잡초 다발생, 저항성 발현, 토양, 농업용수, 약제보관 조건 등 다양한 상황에 의해 예상치 못한 약효, 약해에 문제가 발생할 수 있으니 사용에 주의하십시오. - 사용 전에 잘 흔들어 사용하시고, 한낮을 피해 오전 일찍 또는 오후 늦게 사용하십시오. - 산, 알칼리성 농자재와는 혼용하여 사용하지 마십시오. - 어린이 손에 닿지 않는 곳에 보관하십시오. - 직사광선을 피하고 냉암소에 보관하십시오. - 신체에 이상(감기, 알레르기, 임신, 천식, 피부병 등)이 있을 때에는 약제 살포 및 취급을 금합니다. - 기타 자세한 사항은 ㈜팜한농에 문의하십시오.",2014.04.30,"12,000원/400mL, 120,000원/4L",*주성분의 종류 및 함량: Bacillus thuringiensis 1.0×10^8 cfu/mL *책임보험정보: ㈜KB손해보험_2025-8036148(000),Bacillus thuringiensis,제46-살충-289호,1644-0901,미표시,없음,,경상북도 구미시 남구미로 69 (공단동)
306,공시-3-3-477(공시-1-3-010),땅심이(토양미생물제제),토양개량 및 작물생육용,(주)신성미네랄,301-81-54242,2025.09.02 ~ 2028.09.01,국립순천대학교 산학협력단,"○ 직사광선이 들지 않고, 건조하고 서늘한 곳에 보관 ○ 사용 후 남은 제품은 밀봉하여 어린이 손이 닿지 않는 서늘한 곳에 보관 ○ 화학농약, 특히 살균제와 함께 사용하지 마십시오.",2013.09.02,"30,000원/10kg",Bacillus subtilis 1.0×10^6 CFU/g 이상,Bacillus subtilis,제 충북 괴산001-가-20301호,043-836-9630,표시,비료등록,토양미생물제제 비료등록제품,충청북도 괴산군 청안면 조천로2길 34
311,공시-3-3-580(공시-1-3-053),바루복합유산균(토양미생물제제),토양개량 및 작물생육용,㈜지에스엘바이오,616-81-99724,2026.08.21 ~ 2029.08.20,국립순천대학교 산학협력단,"○ 상온 보관, 토양 및 작물 상태에 따라 농도 조절",2014.08.21,"20,000원/1L, 90,000원/5L, 80,000원/20L",Lacticaseibacillus paracasei 1.0X10^6 CFU/mL 이상,,제 제주 서귀포34-가-20301호,064-794-2334,표시,비료등록,토양미생물제제 비료등록 제품,제주특별자치도 서귀포시 대정읍 일주서로3000번길 137-10
323,공시-2-3-076,양지들(미생물추출물),토양개량 및 작물생육용,㈜미산,455-87-01670,2023.11.03 ~ 2026.11.02,강원대학교 산학협력단,- 하우스 작물에는 파종 2주 전에 시비하시기 바랍니다. - 사용하고 남은 유기농자재는 건냉한 창고에 보관하시기 바랍니다.,2014.11.03,"10,000원/2.5kg, 20,000원/15kg, 29,000원/20kg",*주성분의 종류 및 함량: 질소전량 *책임보험정보: 농협손해보험㈜_319-1135-0227-51,,없음,054-337-1570,미표시,없음,,경상북도 영천시 채신2공단길 79-13 (채신동)
326,공시-3-2-021,이엠-1(원액)( EM-1(원액))(토양미생물제제),작물생육용,㈜에버미라클,402-81-45615,2023.11.07 ~ 2026.11.06,국립순천대학교 산학협력단,○ 직사광선을 피하여 온도변화가 적은 곳(10℃ 이하)에 밀봉하여 보관하여 주십시오 ○ 개봉후에는 가급적 조기 사용하십시오 ○ 부유물질은 미생물이며 사용상 문제가 없습니다,2014.11.07,"67,000원/10L, 120,000원/19L, 120,000원/20L",주성분: Lactobacillus casei 1ⅹ10^6cfu/mL 이상,Lactobacillus casei,제 전북 전주12-가-20301호,063-220-2013,표시,비료등록,비료등록제품,전북특별자치도 전주시 완산구 능안자구길 134-44 (삼천동3가)
337,공시-2-3-105,트리코마 입제(토양미생물제제),토양개량 및 작물생육용,㈜케이엔텍,408-86-05616,2023.12.23 ~ 2026.12.22,강원대학교 산학협력단,- 건조하고 서늘한 곳 보관 - 토양 pH 조건: 3.0 ~ 7.0 - 버섯류 사용 금지 - 타 농자재와 혼용 시 사전 확인 필요,2014.12.23,"15,000원/2.5kg, 35,000원/5kg, 70,000원/10kg",*주성분의 종류 및 함량: Trichoderma harzianum 1.0×10^5 cfu/g,Trichoderma harzianum,제 경기 화성144-가-20301 호,070-4408-2113,미표시,없음,,경기도 화성시 우정읍 만곡동1길 42
338,공시-2-3-106,신세력(미생물추출물),토양개량 및 작물생육용,고려바이오㈜,124-86-37020,2023.12.23 ~ 2026.12.22,강원대학교 산학협력단,- 알칼리성 제제와 석회보르도액 및 유황합제와는 혼용하지 마십시오. - 본 제품은 보관 중 침전 현상으로 층분리가 생길 수 있으므로 반드시 흔들어 사용하십시오. - 사용 후 밀봉한 뒤 햇빛을 피하여 건조하고 서늘한 곳에 보관하십시오.,2014.12.23,"20,000원/100mL, 40,000원/200mL, 150,000원/1L",*주성분의 종류 및 함량: 질소전량 *책임보험정보: 대한상공회의소_202302-209,,없음,031-354-8183,미표시,없음,,경기도 화성시 효행구 정남면 정남동로 346
340,공시-2-4-045,대유마이크로닥터(미생물),병해관리용,㈜대유,515-81-00326,2023.12.23 ~ 2026.12.22,강원대학교 산학협력단,"- 사용 전에 병을 충분히 흔들어 주십시오. - 고온기(30℃ 이상)가 지속되는 비닐하우스, 온실 및 일반 노지와 어린묘, 유과기(어린 과실), 수세가 약할 때 또는 이상기후(저온, 흐린 날씨) 및 가뭄이 계속될 때에는 1,500배액 이상으로 사용하여 주십시오. - 보관 중 침전이 생길 수 있으나 흔들어서 사용하면 제품의 효과에는 이상이 없습니다. - 사용 후 남은 것은 공기가 통하지 않게 뚜껑을 잘 닫은 후 어린아이의 손에 닿지 않는 서늘한 곳에 보관하여 주십시오. - 먹거나 마시지 마십시오.",2014.12.23,"13,000원/250mL, 20,000원/500mL","*주성분의 종류 및 함량: Bacillus subtilis, Bacillus amyloliquefaciens *책임보험정보: 메리츠화재해상보험㈜_14060-36712","Bacillus subtilis, Bacillus amyloliquefaciens",없음,02-556-6293(043-834-3012),미표시,없음,,충청북도 괴산군 괴산읍 대제산단1길 12
